Release Date,Episode Title,pos,neg,neu,compound,Season,Episode,Name,Sentence
17/04/2011,Winter is Coming,0.033,0.244,0.723,-0.8967,1.0,1.0,tyrion lannister,"And Lady Stark is not your mother. Making you a bastard. Let me give you some advice, bastard. Never forget what you are. The rest of the world will not. Wear it like armor. Then it can never be used to hurt you."
08/05/2011,"Cripples, Bastards and Broken Things",0.23,0.059,0.711,0.8779,1.0,4.0,alliser thorne,"Looks like the bastardo s in love. All right then, lord Snow, you wish to defend your lady love, let's make it an exercise. You two. Three of you ought to be sufficient to make lady piggy squeal. All you've got to do is get past the bastard."
08/05/2011,"Cripples, Bastards and Broken Things",0.23,0.059,0.711,0.8779,1.0,4.0,alliser thorne,"Looks like the bastardo s in love. All right then, lord Snow, you wish to defend your lady love, let's make it an exercise. You two. Three of you ought to be sufficient to make lady piggy squeal. All you've got to do is get past the bastard."
19/06/2011,Fire and Blood,0.06,0.14,0.8,-0.8271,1.0,10.0,jeor mormont,"l'll not sit meekly by and wait for the snows. l mean to find out what's happening. The Night's Watch will ride in force against the wildlings, the White Walkers and whatever else is out there. And we will find Benjen Stark, alive or dead. l will command them myself. So l'll only ask you once, Lord Snow, are you a brother of the Night's Watch or a bastard boy who wants to play at war?"
19/06/2011,Fire and Blood,0.06,0.14,0.8,-0.8271,1.0,10.0,jeor mormont,"l'll not sit meekly by and wait for the snows. l mean to find out what's happening. The Night's Watch will ride in force against the wildlings, the White Walkers and whatever else is out there. And we will find Benjen Stark, alive or dead. l will command them myself. So l'll only ask you once, Lord Snow, are you a brother of the Night's Watch or a bastard boy who wants to play at war?"
01/04/2012,The North Remembers,0.0,0.284,0.716,-0.9129,2.0,1.0,robb stark,You're held captive by a boy. Perhaps you'll be killed by a boy. . Stannis Baratheon sent ravens to all the high lords of Westeros. King Joffrey Baratheon is neither a true king nor a true Baratheon. . He's your bastard son.
01/04/2012,The North Remembers,0.0,0.399,0.601,-0.9062,2.0,1.0,joffrey lannister,I'm asking if he fucked other women when he grew tired of you. How many bastards does he have running -
01/04/2012,The North Remembers,0.0,0.621,0.379,-0.8481,2.0,1.0,janos,Enough. Get it done. Kill the bastard.
08/04/2012,The Night Lands,0.048,0.586,0.365,-0.9595,2.0,2.0,tyrion lannister,"No, but who else would want to murder King Robert's bastards? She's always been a jealous woman."
08/04/2012,The Night Lands,0.0,0.23,0.77,-0.8818,2.0,2.0,gendry baratheon,"He could be one of those gold-hatted bastards, for all I know. What about you, anyway? You thought they were after you, why? Did you kill someone, or is it just because you're a girl?"
06/05/2012,The Old Gods and the New,0.09,0.235,0.676,-0.9143,2.0,6.0,qhorin,"I don't want you to be glad about it. I want you to curse and fight until your heart's done pumping. And know this, boy. Your death will be a gift for them south of the Wall. They'll never know what you've done. They'll never know how you died. They won't even know your damn name. But they'll be alive because some nameless bastard north of the Wall gave his life for theirs. Now, do you understand me?"
06/05/2012,The Old Gods and the New,0.0,1.0,0.0,-0.8652,2.0,6.0,man,Murderer! Bastard!
13/05/2012,A Man Without Honor,0.068,0.213,0.719,-0.9448,2.0,7.0,ygritte,"I swear it, Old Master King Crow, ser, we were only close together for warmth. And then I felt it, right up against me backside like a club. I can show you the bruise on me tailbone. And before I knew what was where, his his Well, it was all out in the open, all angry as you like. And I didn't want to want it, but oh, I did! And he spread me legs and ruined. The shame of it. Now I can never marry a perfumed lord. What will me poor savage father say?"
13/05/2012,A Man Without Honor,0.097,0.311,0.592,-0.9101,2.0,7.0,jaime lannister,"Do you know, I've never been with any woman but Cersei. So in my own way, I have more honor than poor old dead Ned. What was the name of that bastard he fathered?"
13/05/2012,A Man Without Honor,0.278,0.161,0.56,0.8873,2.0,7.0,jaime lannister,"No, that wasn't it. Snow, a bastard from the North. Now, when When good old Ned came home with some whore's baby, did you pretend to love it? No. You're not very good at pretending. You're an honest woman. You hated that boy, didn't you? How could you not hate him? The walking, talking reminder that the honorable Lord Eddard Stark fucked another woman."
20/05/2012,The Prince of Winterfell,0.092,0.553,0.355,-0.8176,2.0,8.0,lord of bones,What does Mance want with a dead man's bastard?
20/05/2012,The Prince of Winterfell,0.786,0.0,0.214,0.8759,2.0,8.0,sam,"He's not dead. No, Jon's a great fighter."
27/05/2012,Blackwater,0.0,0.578,0.422,-0.8904,2.0,9.0,man,"Faster, you bastards! Faster! Come on, kill the scum!"
07/04/2013,"Dark Wings, Dark Words",0.061,0.226,0.712,-0.9782,3.0,2.0,catelyn stark,"Jon Snow. When my husband brought that baby home from the war, I couldn't bear to look at him. I didn't want to see those brown stranger's eyes staring up at me. So I prayed to the gods, take him away. Make him die. He got the pox. And I knew I was the worst woman who ever lived. A murderer. I'd condemned this poor, innocent child to a horrible death all because I was jealous of his mother. A woman he didn't even know. So I prayed to all seven gods, let the boy live. Let him live and I'll love him. I'll be a mother to him. I'll beg my husband to give him a true name, to call him Stark and be done with it, to make him one of us."
07/04/2013,"Dark Wings, Dark Words",0.061,0.226,0.712,-0.9782,3.0,2.0,catelyn stark,"Jon Snow. When my husband brought that baby home from the war, I couldn't bear to look at him. I didn't want to see those brown stranger's eyes staring up at me. So I prayed to the gods, take him away. Make him die. He got the pox. And I knew I was the worst woman who ever lived. A murderer. I'd condemned this poor, innocent child to a horrible death all because I was jealous of his mother. A woman he didn't even know. So I prayed to all seven gods, let the boy live. Let him live and I'll love him. I'll be a mother to him. I'll beg my husband to give him a true name, to call him Stark and be done with it, to make him one of us."
05/05/2013,The Climb,0.0,0.316,0.684,-0.85,3.0,6.0,ygritte,"Can we not talk about that here? I'm Jon Snow. I've killed dead men and Qhorin Halfhand, but I'm scared of naked girls."
05/05/2013,The Climb,0.0,0.316,0.684,-0.85,3.0,6.0,ygritte,"Can we not talk about that here? I'm Jon Snow. I've killed dead men and Qhorin Halfhand, but I'm scared of naked girls."
05/05/2013,The Climb,0.394,0.0,0.606,0.8445,3.0,6.0,ygritte,"Only in the beginning. You're a proper lover, Jon Snow. And don't worry. Your secret's safe with me."
05/05/2013,The Climb,0.394,0.0,0.606,0.8445,3.0,6.0,ygritte,"Only in the beginning. You're a proper lover, Jon Snow. And don't worry. Your secret's safe with me."
05/05/2013,The Climb,0.051,0.213,0.736,-0.8737,3.0,6.0,ygritte,"But I'm your woman now, Jon Snow. You're going to be loyal to your woman. The Night's Watch don't care if you live or die. Mance Rayder don't care if I live or die. We're just soldiers in their armies and there's plenty more to carry on if we go down."
05/05/2013,The Climb,0.051,0.213,0.736,-0.8737,3.0,6.0,ygritte,"But I'm your woman now, Jon Snow. You're going to be loyal to your woman. The Night's Watch don't care if you live or die. Mance Rayder don't care if I live or die. We're just soldiers in their armies and there's plenty more to carry on if we go down."
06/04/2014,Two Swords,0.0,0.352,0.648,-0.8466,4.0,1.0,ellaria,A lie anywhere. Why not use the right words? I'm a bastard. She is a whore. And you're what? A procurer.
11/05/2014,The Laws of Gods and Men,0.123,0.625,0.253,-0.9314,4.0,6.0,tyrion lannister,"Watching your vicious bastard die gave me more relief than 1,000 lying whores."
18/05/2014,Mockingbird,0.081,0.402,0.518,-0.8796,4.0,7.0,tyrion lannister,Why are you sorry? Because you're an evil bastard with no conscience and no heart? That's what I liked about you in the first place.
08/06/2014,The Watchers on the Wall,0.207,0.098,0.695,0.8268,4.0,9.0,aemon,Yes. Imagine the stories Wildlings tell about us! Love is the death of duty. I told that to your friend Jon Snow once. He didn't listen and neither did you. That's why you abandoned your watch atop the wall to come here and read about the things that may have happened to the girl you love.
08/06/2014,The Watchers on the Wall,0.207,0.098,0.695,0.8268,4.0,9.0,aemon,Yes. Imagine the stories Wildlings tell about us! Love is the death of duty. I told that to your friend Jon Snow once. He didn't listen and neither did you. That's why you abandoned your watch atop the wall to come here and read about the things that may have happened to the girl you love.
08/06/2014,The Watchers on the Wall,0.0,0.338,0.662,-0.8257,4.0,9.0,grenn,"They won't. Come on Hill! And you Cooper! You three, on me! Come on you lazy bastards!"
15/06/2014,The Children,0.381,0.0,0.619,0.93,4.0,10.0,mance,"It appears my trusting nature got the better of me. It's happened before. I was hoping your loyalty was real when you pledged yourself to us, Jon Snow, truly I was."
15/06/2014,The Children,0.381,0.0,0.619,0.93,4.0,10.0,mance,"It appears my trusting nature got the better of me. It's happened before. I was hoping your loyalty was real when you pledged yourself to us, Jon Snow, truly I was."
15/06/2014,The Children,0.088,0.179,0.733,-0.9643,4.0,10.0,mance,"I showed you everything I had. The whole army, a hundred thousand strong, and what did you do? You fired on us with everything you had. It wasn't much. Soon as I saw that I sent four hundred men to climb the wall. An unmanned stretch five miles west of here. A lot of them will die climbing, but most of them will be over by the end of the day. This is me being honest with you, Jon Snow, which is more than you've ever done for me. My people have bled enough. We're not here to conquer, we're here to hide behind your wall just like you. We need your tunnel. Now we both know that winter is coming and if my people aren't south of the wall when it comes in earnest, we'll all end up worse than dead. Wanna strike a bargain with me? Here's a bargain. You go back, you open the gates to us and I swear to you that no one else will die. Refuse and we'll kill every last man in Castle Black."
15/06/2014,The Children,0.088,0.179,0.733,-0.9643,4.0,10.0,mance,"I showed you everything I had. The whole army, a hundred thousand strong, and what did you do? You fired on us with everything you had. It wasn't much. Soon as I saw that I sent four hundred men to climb the wall. An unmanned stretch five miles west of here. A lot of them will die climbing, but most of them will be over by the end of the day. This is me being honest with you, Jon Snow, which is more than you've ever done for me. My people have bled enough. We're not here to conquer, we're here to hide behind your wall just like you. We need your tunnel. Now we both know that winter is coming and if my people aren't south of the wall when it comes in earnest, we'll all end up worse than dead. Wanna strike a bargain with me? Here's a bargain. You go back, you open the gates to us and I swear to you that no one else will die. Refuse and we'll kill every last man in Castle Black."
19/04/2015,The House of Black and White,0.578,0.0,0.422,0.9287,5.0,2.0,janos,Another wildling lover just like his friend Jon Snow. How's your lady love Slayer?
19/04/2015,The House of Black and White,0.578,0.0,0.422,0.9287,5.0,2.0,janos,Another wildling lover just like his friend Jon Snow. How's your lady love Slayer?
