Conc. kill,Document
string,string
meta,meta
But do you understand why I had to kill him ?,eddard stark (11)
"In my dreams , I kill him every night .",robert baratheon (14)
". Come on , boys , let ' s go kill some boar !",robert baratheon (18)
You Starks are hard to kill .,jon snow (37)
sister ... the woman I loved . I ' ll kill every Targaryen I get my hands on .,robert baratheon (29)
No dragon . Brave men kill them . It is known .,irri (3)
Someone tried to kill him twice . Why ? Why murder an innocent child,catelyn stark (49)
You ' ve got to go . They ' ll kill you for what you did to Joffrey . Go on,arya stark (18)
"' ve just invaded their homeland , asked them to kill their brothers .",cersei lannister (46)
"No , sweet girl . You didn ' t kill the butcher ' s boy .",eddard stark (115)
mere suggestion that the Queen ' s brother tried to kill your boy would be considered treason .,petyr baelish (21)
"talk . And if he does , I ' ll kill him . Him , Ned Stark , the King ...",jaime lannister (40)
"' re telling war stories . Who was your first kill , not counting old men ?",robert baratheon (47)
 Kill these Dothraki dogs ! I am your King !,viserys targaryen (5)
know how to track them and I know how to kill them . It ' s not the wildlings giving me,benjen stark (12)
The Khaleesi wants to eat something different tonight . Kill some rabbits .,irri (9)
One of our own rangers swore he saw them kill his companions . He swore it right up to the,jeor mormont (5)
The brave men didn ' t kill dragons . The brave men rode them . Rode them,viserys targaryen (11)
re somewhere else ... Far away . And they can kill . Anyone or anything that tries to hurt them gets,doreah (18)
the ugliness with the wolves . And forcing you to kill the beast was extreme . Though sometimes we go to,cersei lannister (57)
"I was also trained to kill my enemies , Your Grace .",eddard stark (180)
Am I going to run ? The hill tribes would kill me for my boots . Unless a Shadowcat ate me,tyrion lannister (94)
"bit touched , but now ... you might as well kill me here .",tyrion lannister (96)
Hand for 17 years -- 17 good years . Why kill him ?,eddard stark (212)
"The gods alone know . The fools tried to kill his son . What ' s worse , they botched",varys (23)
They said they were going to kill you .,arya stark (62)
"You wouldn ' t let anyone kill him , would you ?",arya stark (69)
Oh ? Did I kill him too ? I ' ve been a very busy,tyrion lannister (104)
"You kill me , your brother ' s a dead man .",eddard stark (254)
You ' re right . Take him alive ! Kill his men !,jaime lannister (61)
Put the sword down . They ' ll kill us all .,jorah mormont (48)
They can ' t kill us . They can ' t shed blood in their,viserys targaryen (46)
He was no dragon . Fire cannot kill a dragon .,daenerys targaryen (58)
" Kill him ! Kill all of them , I command it",king joffrey (2)
"Kill him ! Kill all of them , I command it !",king joffrey (2)
 Kill the Braavosi . Bring the girl .,meryn trant (3)
The Queen can ' t kill me . Cat holds her brother .,eddard stark (324)
"and your beast . A bloody dead man tried to kill me , so you ' ll take it . l",jeor mormont (23)
"Khaleesi , do not do this thing . Let me kill this witch .",rakharo (12)
 Kill her and you kill your khal .,daenerys targaryen (94)
Kill her and you kill your khal .,daenerys targaryen (94)
" Kill him , Robb . Send his head to his father",theon greyjoy (67)
l ' ll kill them all . Every one of them . l will,robb stark (75)
them all . Every one of them . l will kill them all .,robb stark (75)
to get the girls back . And then we will kill them all .,catelyn stark (130)
"you a present . After l raise my armies and kill your traitor brother , l ' m going to give",joffrey lannister (48)
"l will kill you tonight , Ser . Pack your head in a",catelyn stark (133)
I hoped the fall would kill him .,jaime lannister (83)
They ' ll kill you if they find out you ' ve gone .,grenn (21)
They ' ll kill you if they know you came after me . Go,jon snow (129)
I only meant … it would be bad luck to kill a man on your name day .,sansa stark (103)
"the land of the Lazarheen , the Lamb Men will kill us and take your dragons . If we go west",jorah mormont (90)
"the Dothraki Sea , the first Khalasar we meet will kill us and take your dragons .",jorah mormont (90)
Enough . Get it done . Kill the bastard .,janos (7)
How do you kill a dead man ?,varys (81)
Shh . They cannot kill his soul .,daenerys targaryen (144)
I saw a man kill another man just outside a tavern in Flea Bottom .,hot pie (9)
"thought they were after you , why ? Did you kill someone , or is it just because you ' re",gendry baratheon (25)
"in my mouth when I ' ve made a fresh kill , howling . Old Nan used to tell me stories",bran stark (72)
Is Joffrey going to kill Sansa ' s brother ?,tommen lannister (1)
"a common sellsword . Each great man bids the sellsword kill the other two . Who lives , who dies ?",varys (88)
You ' re going to kill Joffrey ?,talisa (12)
". Bronn , the next time Ser Meryn speaks , kill him . That was a threat . See the difference",tyrion lannister (355)
do you think it will make Jaime more likely to kill you or less likely ? When I tell him you,tyrion lannister (389)
"Oh , Lancel , tell my friend Bronn to please kill you if anything should happen to me .",tyrion lannister (397)
Please kill me if anything should happen to Lord Tyrion .,lancel (29)
"Well , I ' ve never actually been able to kill people with it .",tyrion lannister (399)
I can name anyone and you ' ll kill him ?,arya stark (156)
You mean to kill Stannis .,catelyn stark (190)
seen . They come down in the night and they kill my sheep . My three sons is away fighting for,winterfell shepherd (1)
"them , do things their way . Sneak in , kill Mance , and scatter them to the winds before they",qhorin (6)
"You start thinking you know this place , it will kill you . You understand me ?",qhorin (16)
"was feeling kind . If not , they ' d kill you slow .",ygritte (8)
Just kill them ! Kill them all !,joffrey lannister (105)
Just kill them ! Kill them all !,joffrey lannister (105)
"a cow pie at you , so you decided to kill them all ? They ' re starving , you fool",tyrion lannister (418)
if you know where to look . The cold could kill us both . If you light a fire -,ygritte (19)
I thought they were going to kill me .,sansa stark (130)
"' ll hurt them , but I won ' t kill them .",theon greyjoy (195)
"lands all the time . Some of them tried to kill my little brother , a crippled boy !",jon snow (214)
if you hanged a hundred . A man tried to kill me . I want his name and I want his,tywin lannister (91)
"No , it gives me joy to kill people .",sandor clegane (22)
 Kill the fucking Kingslayer !,man (49)
Treason ? How can it be treason to kill Lannisters ?,rickard karstark (9)
Before I had to kill them - I treated them -,theon greyjoy (210)
"Come on , time to kill some wolves .",guard (35)
"He ' s not yours to kill , crow .",lord of bones (6)
I give you the name does it take you to kill someone ?,arya stark (201)
And you ' ll kill them ? Anybody ?,arya stark (204)
I ' m not joking . A man can go kill himself .,arya stark (207)
I would kill for you . Do you know that ? I expect,tyrion lannister (480)
I saw you kill a man with a shield . You ' ll be,bronn (87)
 Kill the Lannisters !,men (5)
"Faster , you bastards ! Faster ! Come on , kill the scum !",man (77)
and lead your people against the invaders who want to kill them .,tyrion lannister (533)
"Archers , hold your line or I ' ll kill you myself .",man (85)
men knocking at our door . Let ' s go kill them .,tyrion lannister (538)
Why not kill him ?,man (107)
I will kill that man . I don ' t care how many,theon greyjoy (223)
"how many spears they run through me , I will kill that horn - blowing cunt before I fall .",theon greyjoy (223)
