Release Date,Episode Title,pos,neg,neu,compound,Episode,Season,Name,Sentence
12/05/2013,The Bear and the Maiden Fair,0.371,0.0,0.629,0.6486,7.0,3.0,ygritte,"Well, you rip my pretty silk dress, I'll blacken your eye."
05/06/2011,The Pointy End,0.0,0.0,1.0,0.0,8.0,1.0,robb stark,"Tell Lord Tywin, Winter is coming for him."
02/06/2013,The Rains of Castamere,0.211,0.0,0.789,0.7579,9.0,3.0,talisa,"And I like her. But if she had her way, I would be back in Volantis, playing my harp and you would be sitting over there , eating blackberries out of Roslin Frey's hand."
06/05/2012,The Old Gods and the New,0.066,0.198,0.736,-0.8135,6.0,2.0,daenerys targaryen,The Spice King refuses me because I'm a bad investment. The Silk King won't support me because of his business with the Lannisters. Why offend his best customer? And the Copper King offers me a single ship on the condition that I lie with him for a night. Does he think I will whore myself for a boat?
19/05/2013,Second Sons,0.0,0.538,0.462,-0.7906,8.0,3.0,stannis baratheon,Came back with a bastard boy. Robert's bastard boy.
15/04/2012,What Is Dead May Never Die,0.458,0.147,0.395,0.6705,3.0,2.0,pycelle,"Oh, yes, yes. Indeed, yes. I shall be silent as the grave."
29/05/2016,Blood of My Blood,0.381,0.0,0.619,0.5719,6.0,6.0,gilly,"I am happy to know you, Lady Tarly."
20/04/2014,Breaker of Chains,0.0,0.0,1.0,0.0,3.0,4.0,arya stark,He's never been the same.
01/04/2012,The North Remembers,0.146,0.0,0.854,0.3384,1.0,2.0,jaime lannister,You think my father's going to negotiate with you? You don't know him very well.
27/05/2012,Blackwater,0.0,0.0,1.0,0.0,9.0,2.0,man,Forward!
28/04/2019,The Long Night,0.0,0.0,1.0,0.0,3.0,8.0,sansa stark,It wouldn't work between us.
21/04/2019,A Knight of the Seven Kingdoms,0.0,0.0,1.0,0.0,2.0,8.0,arya stark,Your first time with a woman.
05/06/2016,The Broken Man,0.298,0.0,0.702,0.8807,7.0,6.0,sansa stark,"I remember when you were born, my lady. You were named for my Aunt Lyanna. It was said she was a great beauty. I'm sure you will be, too."
16/07/2017,Dragonstone,0.479,0.0,0.521,0.5574,1.0,7.0,beric,"Thank you, Clegane. That warms the heart."
13/05/2012,A Man Without Honor,0.0,0.0,1.0,0.0,7.0,2.0,robb stark,And what then?
01/06/2014,The Mountain and the Viper,0.0,0.0,1.0,0.0,8.0,4.0,ramsay bolton,Nothing.
05/06/2016,The Broken Man,0.0,0.315,0.685,-0.7096,7.0,6.0,jon snow,Your uncle fought them at the Fist of the First Men. I fought them at Hardhome. We both lost.
17/04/2011,Winter is Coming,0.173,0.0,0.827,0.5896,1.0,1.0,viserys,"So do I. I want us both to go home. But they took it from us. So tell me, sweet sister, how do we go home?"
05/06/2011,The Pointy End,0.206,0.0,0.794,0.0772,8.0,1.0,stable boy,"I want you, wolf girl. Come here."
08/06/2014,The Watchers on the Wall,0.0,0.0,1.0,0.0,9.0,4.0,sam,There'll be arrows for all of us soon I imagine.
20/08/2017,Beyond the Wall,0.147,0.0,0.853,0.7506,6.0,7.0,beric,Of course I did. When he was Hand he sent me off hunting for The Mountain. Your Wildling friend told me the red woman brought you back. Thoros has brought me back six times. We both serve the same lord.
08/04/2012,The Night Lands,0.125,0.121,0.754,0.0413,2.0,2.0,cersei lannister,"You're funny. . You've always been funny. But none of your jokes will ever match the first one, will they? You remember... back when you ripped my mother open on your way out of her and she bled to death."
15/05/2016,Book of the Stranger,0.0,0.0,1.0,0.0,4.0,6.0,tyrion lannister,Because our queen chose me as her advisor Until she returns from her travels --
19/04/2015,The House of Black and White,0.0,0.545,0.455,-0.0516,2.0,5.0,selyse,Leave us.
10/05/2015,Kill the Boy,0.326,0.0,0.674,0.4404,5.0,5.0,brienne,Someone who swore to keep her safe.
19/04/2015,The House of Black and White,0.259,0.0,0.741,0.4215,2.0,5.0,jaime lannister,"I'll find her. Is there anything else, your grace?"
20/04/2014,Breaker of Chains,0.0,0.0,1.0,0.0,3.0,4.0,podrick,Your father.
15/05/2016,Book of the Stranger,0.0,1.0,0.0,-0.0516,4.0,6.0,cersei lannister,Leave.
22/05/2016,The Door,0.0,0.0,1.0,0.0,5.0,6.0,sansa stark,What do you think he did to me?
22/05/2011,A Golden Crown,0.0,0.0,1.0,0.0,6.0,1.0,ros,Going to King's Landing.
06/08/2017,The Spoils Of War,0.0,0.0,1.0,0.0,4.0,7.0,jon snow,The queen is gone.
08/04/2012,The Night Lands,0.0,0.0,1.0,0.0,2.0,2.0,gendry baratheon,What are you doing?
14/04/2013,Walk of Punishment,0.39,0.0,0.61,0.4927,3.0,3.0,arya stark,"Hey, Hot Pie. It's really good."
01/04/2012,The North Remembers,0.0,0.133,0.867,-0.0572,1.0,2.0,luwin,"We didn't want him here all day, did we?"
13/08/2017,Eastwatch,0.122,0.224,0.654,-0.8074,5.0,7.0,randyll,"There are no easy choices in war. Say what you will about your sister, she was born in Westeros, has lived here all her life. You on the other hand, you murdered your own father and chose to support a foreign invader. One with no ties to this land, an army of savages at her back."
03/05/2015,Sons of the Harpy,0.0,0.184,0.816,-0.4019,4.0,5.0,petyr baelish,Cersei sent for me. . We must not let her sniff out any trouble.
24/04/2015,The Red Woman,0.048,0.123,0.829,-0.4588,1.0,6.0,roose,"I rebelled against the crown to arrange your marriage to Sansa Stark Do you think that burning wagons in the night and mowing down tired, outnumbered Baratheons is the same as facing a prepared and provisioned Lannister army?"
05/06/2016,The Broken Man,0.296,0.0,0.704,0.2732,7.0,6.0,ray,"Well, we're talking about life. You?"
03/05/2015,Sons of the Harpy,0.0,0.0,1.0,0.0,4.0,5.0,jorah mormont,I am. Queen Daenerys Targaryen. She's the Queen I serve.
21/04/2019,A Knight of the Seven Kingdoms,0.0,0.0,1.0,0.0,2.0,8.0,gilly,"When the time comes, you'll be down in the crypts."
14/06/2015,Mother’s Mercy,0.065,0.069,0.866,-0.0387,10.0,5.0,cersei lannister,"A lie. A lie from the lips of Stannis Baratheon. He wants the Throne, but his brother's children stand in his way, so he claims they are not his brothers'. The filth. There is not one shred of truth to it. I deny it."
31/03/2013,Valar Dohaeris,0.0,0.0,1.0,0.0,1.0,3.0,tyrion lannister,Why are you here?
22/04/2012,Garden of Bones,0.0,0.0,1.0,0.0,4.0,2.0,petyr baelish,"And on the night of your wedding, who was by the king's side then?"
22/05/2011,A Golden Crown,0.163,0.0,0.837,0.5994,6.0,1.0,robert baratheon,See what she does to me? My loving wife. I should not have hit her. That was not… That was not kingly.
07/04/2013,"Dark Wings, Dark Words",0.0,0.0,1.0,0.0,2.0,3.0,servant,"The cheese will be served after the cakes, my lady."
20/05/2012,The Prince of Winterfell,0.219,0.17,0.611,0.0274,8.0,2.0,jorah mormont,"You know I would die for you. I will never abandon you. I'm sworn to protect you, to serve."
19/05/2013,Second Sons,1.0,0.0,0.0,0.4019,8.0,3.0,daario,Yes.
29/05/2016,Blood of My Blood,0.0,0.0,1.0,0.0,6.0,6.0,bran stark,Meera. They found us.
