Release Date,Episode Title,pos,neg,neu,compound,Episode,Season,Name,Sentence
17/04/2011,Winter is Coming,0.0,0.299,0.701,-0.5719,1.0,1.0,jaime lannister,"You've much to teach me, no doubt. But our sister craves your attention."
17/04/2011,Winter is Coming,0.0,0.315,0.685,-0.3182,1.0,1.0,tyrion lannister,"She has odd cravings, our sister."
15/05/2011,The Wolf and the Lion,0.099,0.05,0.851,0.4199,5.0,1.0,robert baratheon,"Hmm... A bloody idiot... But Cersei insisted. I have Jon Arryn to thank for her. ""Cersei Lannister will make a good match"", he told me. ""You'll need her father on your side."" I thought being King meant I could do whatever I wanted. Enough of this! Let's go watch 'em ride. At least I can smell someone else's blood."
29/05/2011,You Win or You Die,0.0,0.0,1.0,0.0,7.0,1.0,renly baratheon,Saving the Seven Kingdoms from Cersei and delivering them to Stannis?
12/06/2011,Baelor,0.142,0.107,0.751,0.3842,9.0,1.0,varys,Boys have been conquerors before. But the man giving Cersei sleepless nights is the king's the late king's brother. Lord Stannis has the best claim to the throne. He is a proven battle commander and he is utterly without mercy.
12/06/2011,Baelor,0.094,0.294,0.612,-0.8181,9.0,1.0,varys,Sansa pleaded so sweetly for your life. lt would be a shame to throw it away. Cersei is no fool. She knows a tame wolf is more use to her than a dead one.
12/06/2011,Baelor,0.159,0.136,0.705,-0.1007,9.0,1.0,varys,"l want you to serve the realm! Tell the queen you will confess your vile treason, tell your son to lay down his sword and proclaim Joffrey as the true heir. Cersei knows you as a man of honor. lf you give her the peace she needs, and promise to carry her secret to your grave, l believe she will allow you to take the black and live out your days on the Wall with your brother and your bastard son."
01/04/2012,The North Remembers,0.0,0.061,0.939,-0.296,1.0,2.0,matthos,"That my brother Robert left no trueborn heirs; the boy Joffrey, the boy Tommen, and the girl Myrcella, being born of incest between Cersei Lannister and her brother Jaime Lannister. By right of birth -"""
01/04/2012,The North Remembers,0.105,0.0,0.895,0.5106,1.0,2.0,robb stark,"Third... Joffrey and the Queen Regent must renounce all claim to dominion of the North. From this time, till the end of time, we are a free and independent kingdom."
01/04/2012,The North Remembers,0.11,0.135,0.755,-0.2023,1.0,2.0,robb stark,"These are my terms. If the Queen Regent and her son meet them, I'll give them peace. If not, I will litter the south with Lannister dead."
08/04/2012,The Night Lands,0.0,0.055,0.945,-0.296,2.0,2.0,matthos,"My brother Robert left no trueborn heirs, the boy Joffrey being born of incest between Cersei Lannister, and her brother Jaime Lannister. By right of birth, and blood, I do this day lay claim to the Iron Throne of Westeros."
