Release Date,Episode Title,pos,neg,neu,compound,Season,Episode,Name,Sentence
17/04/2011,Winter is Coming,0.0,0.0,1.0,0.0,1.0,1.0,viserys,Daenerys!
17/04/2011,Winter is Coming,0.11,0.133,0.757,-0.1551,1.0,1.0,viserys,Daenerys! There's our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn't he a gracious host?
17/04/2011,Winter is Coming,0.109,0.0,0.891,0.5859,1.0,1.0,illyrio,"May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen."
17/04/2011,Winter is Coming,0.203,0.0,0.797,0.7469,1.0,1.0,illyrio,"Dragons' eggs, Daenerys. From the Shadow Lands beyond Asshai. The ages have turned them to stone, but they will always be beautiful."
24/04/2011,The Kingsroad,0.179,0.0,0.821,0.504,1.0,2.0,eddard stark,Daenerys Targaryen has wed some Dothraki horselord. What of it? Should we send her a wedding gift?
15/05/2011,The Wolf and the Lion,0.0,0.239,0.761,-0.296,1.0,5.0,steward,"No, my Lord. I believe it concerns Daenerys Targaryen."
15/05/2011,The Wolf and the Lion,0.147,0.2,0.654,-0.6124,1.0,5.0,varys,"I understand your misgivings, my Lord. Truly, I do. It is a terrible thing we must consider, a vile thing. Yet, we who presume to rule must sometimes do vile things for the good of the realm. Should the gods grant Daenerys a son, the realm will bleed."
22/05/2011,A Golden Crown,0.0,0.0,1.0,0.0,1.0,6.0,viserys targaryen,Daenerys! Where's my sister?
22/05/2011,A Golden Crown,0.0,0.278,0.722,-0.4724,1.0,6.0,viserys targaryen,"No. Dany! Dany, tell them, make them! You can't!"
22/05/2011,A Golden Crown,0.722,0.0,0.278,0.3802,1.0,6.0,viserys targaryen,Dany please!
29/05/2011,You Win or You Die,0.237,0.0,0.763,0.4215,1.0,7.0,eddard stark,His Grace has had a change of heart concerning Daenerys Targaryen.
29/05/2011,You Win or You Die,0.242,0.0,0.758,0.4939,1.0,7.0,doreah,You have the honor of addressing Daenerys of the House Targaryen.
22/04/2012,Garden of Bones,0.257,0.0,0.743,0.5859,2.0,4.0,kovarro,They said they would be honored to receive the Mother of Dragons.
22/04/2012,Garden of Bones,0.0,0.0,1.0,0.0,2.0,4.0,spice king,Daenerys Stormborn of the house Targaryen.
22/04/2012,Garden of Bones,0.0,0.0,1.0,0.0,2.0,4.0,spice king,Daenerys Stormborn of the house Targaryen.
22/04/2012,Garden of Bones,0.0,0.115,0.885,-0.296,2.0,4.0,spice king,"Only by reputation, Khaleesi. And I'm no lord, merely a humble merchant. They call you the Mother of Dragons."
22/04/2012,Garden of Bones,0.238,0.186,0.575,0.3884,2.0,4.0,spice king,"Forgive me, Mother of Dragons, but no man alive has seen a living dragon. Some of my more skeptical friends refuse to believe your children even exist. All we ask is the chance to see for ourselves."
22/04/2012,Garden of Bones,0.057,0.092,0.851,-0.25,2.0,4.0,spice king,The girl threatens to burn our city to the ground and you would invite her in for a cup of wine? She is the Mother of Dragons.
29/04/2012,The Ghost of Harrenhal,0.286,0.0,0.714,0.5267,2.0,5.0,pyatt pree,"Mother of Dragons. On behalf of the warlocks of Qarth, I welcome you. A demonstration?"
29/04/2012,The Ghost of Harrenhal,0.172,0.08,0.748,0.5106,2.0,5.0,pyatt pree,"Should you grow tired of Xaro's baubles and trinkets, it would be an honor to host you at the House of the Undying. You are always welcome, Mother of Dragons."
29/04/2012,The Ghost of Harrenhal,0.05,0.125,0.824,-0.4939,2.0,5.0,quaithe,"I'm no one. But she is the Mother of Dragons. She needs true protectors, now more than ever. They shall come day and night to see the wonder born into the world again. And when they see, they shall lust, for dragons are fire made flesh. And fire is power."
29/04/2012,The Ghost of Harrenhal,0.0,0.177,0.823,-0.6486,2.0,5.0,xaro,"See? I have more ambition than you thought. The time is right, Daenerys Targaryen, First of Your Name. Robert Baratheon is dead."
06/05/2012,The Old Gods and the New,0.0,0.0,1.0,0.0,2.0,6.0,spice king,The Mother of Dragons!
13/05/2012,A Man Without Honor,0.282,0.0,0.718,0.5423,2.0,7.0,quaith,Draw your sword. See what your steel is worth. You want to please the Mother of Dragons.
13/05/2012,A Man Without Honor,0.192,0.124,0.684,0.2732,2.0,7.0,pyat pree,"You are cruel, my friend. The Mother of Dragons is in the right. She must be reunited with her babies. I will help you, Khaleesi."
13/05/2012,A Man Without Honor,0.16,0.0,0.84,0.6369,2.0,7.0,pyat pree,"The Mother of Dragons will be with her babies. She will give them her love and they will thrive by her side, forever."
13/05/2012,A Man Without Honor,0.0,0.0,1.0,0.0,2.0,7.0,pyat pree,"Where will you run to, Daenerys Stormborn? Your dragons wait for you in the House of the Undying. Come see them."
13/05/2012,A Man Without Honor,0.0,0.0,1.0,0.0,2.0,7.0,pyat pree,"Where will you run to, Daenerys Stormborn? Your dragons wait for you in the House of the Undying. Come see them."
20/05/2012,The Prince of Winterfell,0.0,0.157,0.843,-0.4215,2.0,8.0,varys,"This morning, I heard a song all the way from Qarth beyond the Red Waste. Daenerys Targaryen lives."
20/05/2012,The Prince of Winterfell,0.053,0.109,0.838,-0.5789,2.0,8.0,jorah mormont,"They're not your children. I know they call you the Mother of Dragons and I know you love them, but you didn't grow them in your womb. They didn't suckle at your breast. They are dragons, Khaleesi. And if we stay in Qarth, we'll die."
03/06/2012,Valar Morghulis,0.5,0.0,0.5,0.4588,2.0,10.0,pyat pree,"Welcome home, Daenerys Stormborn."
03/06/2012,Valar Morghulis,0.5,0.0,0.5,0.4588,2.0,10.0,pyat pree,"Welcome home, Daenerys Stormborn."
31/03/2013,Valar Dohaeris,0.15,0.243,0.607,-0.5994,3.0,1.0,barristan,"King Robert is dead. I have been searching for you, Daenerys Stormborn, to ask your forgiveness. I was sworn to protect your family. I failed them."
31/03/2013,Valar Dohaeris,0.15,0.243,0.607,-0.5994,3.0,1.0,barristan,"King Robert is dead. I have been searching for you, Daenerys Stormborn, to ask your forgiveness. I was sworn to protect your family. I failed them."
28/04/2013,Kissed by Fire,0.21,0.0,0.79,0.8479,3.0,5.0,grey worm,"Grey Worm"" gives me pride. It is a very lucky name. The name this one was born with was cursed. That was the name he had when he was taken as a slave. But Grey Worm is the name this one had the day Daenerys Stormborn set him free."
28/04/2013,Kissed by Fire,0.21,0.0,0.79,0.8479,3.0,5.0,grey worm,"Grey Worm"" gives me pride. It is a very lucky name. The name this one was born with was cursed. That was the name he had when he was taken as a slave. But Grey Worm is the name this one had the day Daenerys Stormborn set him free."
12/05/2013,The Bear and the Maiden Fair,0.182,0.0,0.818,0.7964,3.0,7.0,missandei,"Noble lord, you are in the presence of Daenerys Stormborn of House Targaryen, Queen of the Andals and the First Men, Khaleesi of the Great Grass Sea, Breaker of Chains, and Mother of Dragons."
12/05/2013,The Bear and the Maiden Fair,0.182,0.0,0.818,0.7964,3.0,7.0,missandei,"Noble lord, you are in the presence of Daenerys Stormborn of House Targaryen, Queen of the Andals and the First Men, Khaleesi of the Great Grass Sea, Breaker of Chains, and Mother of Dragons."
12/05/2013,The Bear and the Maiden Fair,0.182,0.0,0.818,0.7964,3.0,7.0,missandei,"Noble lord, you are in the presence of Daenerys Stormborn of House Targaryen, Queen of the Andals and the First Men, Khaleesi of the Great Grass Sea, Breaker of Chains, and Mother of Dragons."
12/05/2013,The Bear and the Maiden Fair,0.182,0.0,0.818,0.7964,3.0,7.0,missandei,"Noble lord, you are in the presence of Daenerys Stormborn of House Targaryen, Queen of the Andals and the First Men, Khaleesi of the Great Grass Sea, Breaker of Chains, and Mother of Dragons."
19/05/2013,Second Sons,0.174,0.263,0.563,-0.2263,3.0,8.0,mero,You are the Mother of Dragons? I swear I fucked you once in a pleasure house in Lys.
09/06/2013,Mhysa,0.139,0.0,0.861,0.6369,3.0,10.0,missandei,"This is Daenerys Targaryen, the Stormborn, the Unburnt, the Queen of the Seven Kingdoms of Westeros, Mother of Dragons. It is to her you owe your freedom"
09/06/2013,Mhysa,0.139,0.0,0.861,0.6369,3.0,10.0,missandei,"This is Daenerys Targaryen, the Stormborn, the Unburnt, the Queen of the Seven Kingdoms of Westeros, Mother of Dragons. It is to her you owe your freedom"
09/06/2013,Mhysa,0.139,0.0,0.861,0.6369,3.0,10.0,missandei,"This is Daenerys Targaryen, the Stormborn, the Unburnt, the Queen of the Seven Kingdoms of Westeros, Mother of Dragons. It is to her you owe your freedom"
09/06/2013,Mhysa,0.139,0.0,0.861,0.6369,3.0,10.0,missandei,"This is Daenerys Targaryen, the Stormborn, the Unburnt, the Queen of the Seven Kingdoms of Westeros, Mother of Dragons. It is to her you owe your freedom"
